#structure
csvSeparator=;
structure=tree
dateFormat=dd/mm/yyyy
codeColumnsIndex=1,2
titleColumnIndex_PT=3

#metadata
name=CS_Prod_Trade
title_EN=CountrySTAT commodities
description_EN=CountrySTAT commodities
version=1.0
startDate=16/06/2014
sharingPolicy=publicPolicy
keywords=code list,commodities,production, trade, commodity,product,products,countrySTAT



--data--



;1111;Miudezas de mula
;1127;Miudezas de camelo
;1128;Miudezas costiveis de camelo
;1141;Carne de coelho
;1151;Carne de outros roedores
;1158;Carne de outros camelideos
;1163;Carne de caça
;1164;Carne seca
;1166;Carne nes
;1167;Mieudezas nes
;1172;Carnes preparadas
;1176;Caracois nao marinhos
;882;Leite de vaca inteiro e fresco
;883;Leite standartisado
;885;Crème fresca
;886;Manteiga de leite fresco
;887;Ghee, de leite de vaca
;888;Leite desnatado de vaca
;889;Leite inteiro condesado
;890;Soro de leite condensado
;891;Iogurte
;892;Iogurte concentrado ou não
;893;Leitelho, leite coalhado, leite azedo
;894;Leite inteiro condensado não açucarado
;895;Leite desnatado condensado nao açucarado
;896;Leite desnatado condensado açucarado
;897;Leite inteiro seco
;898;Leite de vaca desnatado em po
;899;Soro de leite coalhado em po
;900;Soro de leite seco
;901;Queijo de leite de vaca inteiro
;903;Soro fresco
;904;Queijo de leite de vaca desnatado
;905;Soro de Queijo
;907;Feijo fundido
;908;Leite reconstituido
;909;Produtos derivados de elementos naturais do leite
;910;Sorvete  Comestiveis
;916;Ovalbumina
;917;Caseina
;951;Leite de bufalo inteiro e fresco
;952;Manteiga de leite de bufalo
;953;Ghee de leite de bufalo
;954;Leite desnatado de bufalo
;955;Queije de leite de bufalo
;982;Leite de ovelha inteiro fresco
;983;Manteiga e ghee de ovelha
;984;Queijo de manteiga de ovelha
;985;Leite desnatado de ovelha
;1020;Leite inteiro de cabra fresco
;1021;Queijo de leite de cabra
;1022;Manteiga de elite de cabra
;1023;Leite desnatado de cabra
;1062;Ovos de galinhas com casca
;1063;Ovos liquidos
;1064;Ovos em po
;1067;Ovos de galinhas com casca (número)
;1091;Outros ovos de aves com casca
;1092;Outros ovos de aves com casca ( número)
;1130;Leite de camela inteiro fresco
;1183;Cera de abelhas
;919;Couro de gado fresco
;920;Couro de gado Húmido e salgado
;921;Couro de gado seco
;922;Couro de bovinos
;927;Pele fresca de vitelo
;928;Pele  de vitelo humido salgado
;929;Pele de vitelo seco salgado
;930;Pele de vitelo
;957;Pele fresca de bufalo
;958;Pele de bufalo salgado e humido
;959;Pele de bufalo seco e salgado
;995;Pele fresca de ovelha
;996;Pele de ovelha humidae salgada
;997;Pele seca e salgada de ovelha
;998;Pele de ovelha
;999;Skins With Wool Sheep
;1002;Karakul Skins
;1025;Pele fresca de cabrito
;1026;Pele de cabrito humida e salgada
;1027;Pele seca e salgada de cabrito
;1028;Pele de cabrito
;1044;Pele fresca de porco
;1045;Pele de porco humida e salgada
;1046;Pele seca e salgada de porco
;1047;Pele de porco
;1102;Pele de cavalo fresca
;1103;Pele de cavalo humida e salgada
;1104;Pele de cavalo seca e salgada
;1105;Pele de cavalo
;1109;Pele fresca ce burro
;1112;Pele fresca de mula
;1133;Pele fresca de camelo
;1134;Pele de camelo humida e fresca
;1135;Pele de camelo seca salgada
;1136;Pele de camelo
;1146;Pele de coelho
;1195;Pele Furs
;1213;Peles frescas
;1214;Peles humidas salgadas
;1215;Peles secas salgadas
;1216;Peles
;1217;Couros usados e dejectos
;1277;Residuos e substancias graxos
